folder,sample,file_path,expected,predicted,correct,time_seconds
goodware/1,1,challenge_ds/goodware/1/1,0,1,False,0.9360446929931641
goodware/1,10,challenge_ds/goodware/1/10,0,0,True,1.0834715366363525
goodware/1,2,challenge_ds/goodware/1/2,0,1,False,1.3088726997375488
goodware/1,3,challenge_ds/goodware/1/3,0,0,True,1.873152494430542
goodware/1,4,challenge_ds/goodware/1/4,0,0,True,1.3788444995880127
goodware/1,5,challenge_ds/goodware/1/5,0,0,True,1.1287193298339844
goodware/1,6,challenge_ds/goodware/1/6,0,0,True,1.3165299892425537
goodware/1,7,challenge_ds/goodware/1/7,0,0,True,1.2593865394592285
goodware/1,8,challenge_ds/goodware/1/8,0,0,True,1.3483877182006836
goodware/1,9,challenge_ds/goodware/1/9,0,0,True,1.407571792602539
goodware/2,1,challenge_ds/goodware/2/1,0,0,True,0.9131669998168945
goodware/2,10,challenge_ds/goodware/2/10,0,0,True,0.9217486381530762
goodware/2,2,challenge_ds/goodware/2/2,0,0,True,1.0536506175994873
goodware/2,3,challenge_ds/goodware/2/3,0,0,True,1.1516215801239014
goodware/2,4,challenge_ds/goodware/2/4,0,0,True,1.0636982917785645
goodware/2,5,challenge_ds/goodware/2/5,0,0,True,0.9131715297698975
goodware/2,6,challenge_ds/goodware/2/6,0,0,True,1.1697523593902588
goodware/2,7,challenge_ds/goodware/2/7,0,0,True,1.723313808441162
goodware/2,8,challenge_ds/goodware/2/8,0,0,True,1.6831440925598145
goodware/2,9,challenge_ds/goodware/2/9,0,0,True,1.1026945114135742
goodware/3,1,challenge_ds/goodware/3/1,0,0,True,8.91137170791626
goodware/3,10,challenge_ds/goodware/3/10,0,0,True,1.870356798171997
goodware/3,2,challenge_ds/goodware/3/2,0,0,True,7.240678071975708
goodware/3,3,challenge_ds/goodware/3/3,0,0,True,2.9405109882354736
goodware/3,4,challenge_ds/goodware/3/4,0,0,True,3.879655599594116
goodware/3,5,challenge_ds/goodware/3/5,0,0,True,1.4835731983184814
goodware/3,6,challenge_ds/goodware/3/6,0,0,True,1.7330212593078613
goodware/3,7,challenge_ds/goodware/3/7,0,0,True,0.9999370574951172
goodware/3,8,challenge_ds/goodware/3/8,0,0,True,0.3811945915222168
goodware/3,9,challenge_ds/goodware/3/9,0,0,True,1.4344472885131836
goodware/4,1,challenge_ds/goodware/4/1,0,1,False,2.4943416118621826
goodware/4,10,challenge_ds/goodware/4/10,0,0,True,2.86466121673584
goodware/4,2,challenge_ds/goodware/4/2,0,0,True,1.3068153858184814
goodware/4,3,challenge_ds/goodware/4/3,0,0,True,0.35831522941589355
goodware/4,4,challenge_ds/goodware/4/4,0,1,False,2.340188980102539
goodware/4,5,challenge_ds/goodware/4/5,0,1,False,1.58408522605896
goodware/4,6,challenge_ds/goodware/4/6,0,0,True,0.5689668655395508
goodware/4,7,challenge_ds/goodware/4/7,0,0,True,3.785759210586548
goodware/4,8,challenge_ds/goodware/4/8,0,0,True,3.1722917556762695
goodware/4,9,challenge_ds/goodware/4/9,0,0,True,2.2951321601867676
goodware/5,1,challenge_ds/goodware/5/1,0,0,True,4.282747983932495
goodware/5,10,challenge_ds/goodware/5/10,0,0,True,0.4206559658050537
goodware/5,2,challenge_ds/goodware/5/2,0,0,True,0.36441898345947266
goodware/5,3,challenge_ds/goodware/5/3,0,0,True,0.36427736282348633
goodware/5,4,challenge_ds/goodware/5/4,0,1,False,7.900008201599121
